Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1451,CMSIGBW,43.243
12/31/1452,CMSIGBW,43.243
12/31/1453,CMSIGBW,43.243
12/31/1454,CMSIGBW,43.243
12/31/1455,CMSIGBW,43.243
12/31/1456,CMSIGBW,43.243
12/31/1457,CMSIGBW,43.243
12/31/1458,CMSIGBW,43.243
12/31/1459,CMSIGBW,43.243
12/31/1460,CMSIGBW,43.243
12/31/1461,CMSIGBW,43.243
12/31/1462,CMSIGBW,43.243
12/31/1463,CMSIGBW,43.243
12/31/1464,CMSIGBW,43.243
12/31/1465,CMSIGBW,43.243
12/31/1466,CMSIGBW,43.243
12/31/1467,CMSIGBW,43.243
12/31/1468,CMSIGBW,43.243
12/31/1469,CMSIGBW,43.243
12/31/1470,CMSIGBW,43.243
12/31/1471,CMSIGBW,43.243
12/31/1472,CMSIGBW,43.243
12/31/1473,CMSIGBW,43.243
12/31/1474,CMSIGBW,43.243
12/31/1475,CMSIGBW,43.243
12/31/1476,CMSIGBW,43.243
12/31/1477,CMSIGBW,43.243
12/31/1478,CMSIGBW,43.243
12/31/1479,CMSIGBW,43.243
12/31/1480,CMSIGBW,43.243
12/31/1481,CMSIGBW,43.243
12/31/1482,CMSIGBW,43.243
12/31/1483,CMSIGBW,43.243
12/31/1484,CMSIGBW,43.243
12/31/1485,CMSIGBW,43.243
12/31/1486,CMSIGBW,43.243
12/31/1487,CMSIGBW,43.243
12/31/1488,CMSIGBW,43.243
12/31/1489,CMSIGBW,43.243
12/31/1490,CMSIGBW,43.243
12/31/1491,CMSIGBW,43.243
12/31/1492,CMSIGBW,43.243
12/31/1493,CMSIGBW,43.243
12/31/1494,CMSIGBW,43.243
12/31/1495,CMSIGBW,43.243
12/31/1496,CMSIGBW,43.243
12/31/1497,CMSIGBW,43.243
12/31/1498,CMSIGBW,43.243
12/31/1499,CMSIGBW,43.243
12/31/1500,CMSIGBW,43.243
12/31/1501,CMSIGBW,43.243
12/31/1502,CMSIGBW,43.243
12/31/1503,CMSIGBW,43.243
12/31/1504,CMSIGBW,43.243
12/31/1505,CMSIGBW,43.243
12/31/1506,CMSIGBW,43.243
12/31/1507,CMSIGBW,43.243
12/31/1508,CMSIGBW,48.649
12/31/1509,CMSIGBW,48.649
12/31/1510,CMSIGBW,48.649
12/31/1511,CMSIGBW,48.649
12/31/1512,CMSIGBW,48.649
12/31/1513,CMSIGBW,48.649
12/31/1514,CMSIGBW,48.649
12/31/1515,CMSIGBW,48.649
12/31/1516,CMSIGBW,48.649
12/31/1517,CMSIGBW,48.649
12/31/1518,CMSIGBW,48.649
12/31/1519,CMSIGBW,48.649
12/31/1520,CMSIGBW,48.649
12/31/1521,CMSIGBW,48.649
12/31/1522,CMSIGBW,48.649
12/31/1523,CMSIGBW,48.649
12/31/1524,CMSIGBW,48.649
12/31/1525,CMSIGBW,48.649
12/31/1526,CMSIGBW,51.892
12/31/1527,CMSIGBW,51.892
12/31/1528,CMSIGBW,51.892
12/31/1529,CMSIGBW,51.892
12/31/1530,CMSIGBW,51.892
12/31/1531,CMSIGBW,51.892
12/31/1532,CMSIGBW,51.892
12/31/1533,CMSIGBW,51.892
12/31/1534,CMSIGBW,51.892
12/31/1535,CMSIGBW,51.892
12/31/1536,CMSIGBW,64.865
12/31/1537,CMSIGBW,64.865
12/31/1538,CMSIGBW,64.865
12/31/1539,CMSIGBW,64.865
12/31/1540,CMSIGBW,64.865
12/31/1541,CMSIGBW,64.865
12/31/1542,CMSIGBW,64.865
12/31/1543,CMSIGBW,64.865
12/31/1544,CMSIGBW,64.865
12/31/1545,CMSIGBW,64.865
12/31/1546,CMSIGBW,64.865
12/31/1547,CMSIGBW,64.865
12/31/1548,CMSIGBW,64.865
12/31/1549,CMSIGBW,64.865
12/31/1550,CMSIGBW,64.865
12/31/1551,CMSIGBW,64.865
12/31/1552,CMSIGBW,64.865
12/31/1553,CMSIGBW,64.865
12/31/1554,CMSIGBW,64.865
12/31/1555,CMSIGBW,64.865
12/31/1556,CMSIGBW,64.865
12/31/1557,CMSIGBW,64.865
12/31/1558,CMSIGBW,64.865
12/31/1559,CMSIGBW,64.865
12/31/1560,CMSIGBW,64.865
12/31/1561,CMSIGBW,64.865
12/31/1562,CMSIGBW,64.865
12/31/1563,CMSIGBW,64.865
12/31/1564,CMSIGBW,64.865
12/31/1565,CMSIGBW,64.865
12/31/1566,CMSIGBW,64.865
12/31/1567,CMSIGBW,64.865
12/31/1568,CMSIGBW,64.865
12/31/1569,CMSIGBW,64.865
12/31/1570,CMSIGBW,64.865
12/31/1571,CMSIGBW,64.865
12/31/1572,CMSIGBW,64.865
12/31/1573,CMSIGBW,64.865
12/31/1574,CMSIGBW,64.865
12/31/1575,CMSIGBW,64.865
12/31/1576,CMSIGBW,64.865
12/31/1577,CMSIGBW,64.865
12/31/1578,CMSIGBW,64.865
12/31/1579,CMSIGBW,64.865
12/31/1580,CMSIGBW,64.865
12/31/1581,CMSIGBW,64.865
12/31/1582,CMSIGBW,64.865
12/31/1583,CMSIGBW,64.865
12/31/1584,CMSIGBW,64.865
12/31/1585,CMSIGBW,67.005
12/31/1586,CMSIGBW,67.005
12/31/1587,CMSIGBW,67.005
12/31/1588,CMSIGBW,67.005
12/31/1589,CMSIGBW,67.005
12/31/1590,CMSIGBW,67.005
12/31/1591,CMSIGBW,67.005
12/31/1592,CMSIGBW,67.005
12/31/1593,CMSIGBW,67.005
12/31/1594,CMSIGBW,67.005
12/31/1595,CMSIGBW,67.005
12/31/1596,CMSIGBW,67.005
12/31/1597,CMSIGBW,67.005
12/31/1598,CMSIGBW,67.005
12/31/1599,CMSIGBW,67.005
12/31/1600,CMSIGBW,67.005
12/31/1601,CMSIGBW,67.005
12/31/1602,CMSIGBW,67.005
12/31/1603,CMSIGBW,67.005
12/31/1604,CMSIGBW,67.005
12/31/1605,CMSIGBW,67.005
12/31/1606,CMSIGBW,67.005
12/31/1607,CMSIGBW,67.005
12/31/1608,CMSIGBW,67.005
12/31/1609,CMSIGBW,67.005
12/31/1610,CMSIGBW,67.005
12/31/1611,CMSIGBW,67.005
12/31/1612,CMSIGBW,67.005
12/31/1613,CMSIGBW,67.005
12/31/1614,CMSIGBW,67.005
12/31/1615,CMSIGBW,67.005
12/31/1616,CMSIGBW,67.005
12/31/1617,CMSIGBW,67.005
12/31/1618,CMSIGBW,67.005
12/31/1619,CMSIGBW,67.005
12/31/1620,CMSIGBW,67.005
12/31/1621,CMSIGBW,67.005
12/31/1622,CMSIGBW,67.005
12/31/1623,CMSIGBW,67.005
12/31/1624,CMSIGBW,67.005
12/31/1625,CMSIGBW,67.005
12/31/1626,CMSIGBW,67.005
12/31/1627,CMSIGBW,67.005
12/31/1628,CMSIGBW,67.005
12/31/1629,CMSIGBW,67.005
12/31/1630,CMSIGBW,67.005
12/31/1631,CMSIGBW,67.005
12/31/1632,CMSIGBW,67.005
12/31/1633,CMSIGBW,67.005
12/31/1634,CMSIGBW,67.005
12/31/1635,CMSIGBW,67.005
12/31/1636,CMSIGBW,67.005
12/31/1637,CMSIGBW,67.005
12/31/1638,CMSIGBW,67.005
12/31/1639,CMSIGBW,67.005
12/31/1640,CMSIGBW,67.005
12/31/1641,CMSIGBW,67.005
12/31/1642,CMSIGBW,67.005
12/31/1643,CMSIGBW,67.005
12/31/1644,CMSIGBW,67.005
12/31/1645,CMSIGBW,67.005
12/31/1646,CMSIGBW,67.005
12/31/1647,CMSIGBW,67.005
12/31/1648,CMSIGBW,67.005
12/31/1649,CMSIGBW,67.005
12/31/1650,CMSIGBW,67.005
12/31/1651,CMSIGBW,67.005
12/31/1652,CMSIGBW,67.005
12/31/1653,CMSIGBW,67.005
12/31/1654,CMSIGBW,67.005
12/31/1655,CMSIGBW,67.005
12/31/1656,CMSIGBW,67.005
12/31/1657,CMSIGBW,67.005
12/31/1658,CMSIGBW,67.005
12/31/1659,CMSIGBW,67.005
12/31/1660,CMSIGBW,67.005
12/31/1661,CMSIGBW,67.005
12/31/1662,CMSIGBW,67.005
12/31/1663,CMSIGBW,67.005
12/31/1664,CMSIGBW,67.005
12/31/1665,CMSIGBW,67.005
12/31/1666,CMSIGBW,67.005
12/31/1667,CMSIGBW,67.005
12/31/1668,CMSIGBW,67.005
12/31/1669,CMSIGBW,67.005
12/31/1670,CMSIGBW,67.005
12/31/1671,CMSIGBW,67.005
12/31/1672,CMSIGBW,67.005
12/31/1673,CMSIGBW,67.005
12/31/1674,CMSIGBW,67.005
12/31/1675,CMSIGBW,67.005
12/31/1676,CMSIGBW,67.005
